PositionID,bChecked,strName,dXPosition,dYPosition,dZPosition,dPFSOffset,row,column,well,field,x,y,well_row_odd,well_row_id,well_column_odd,well_row_order,well_column_order
Point00261,true,F9#1,21500,47500,5212,11765,F,9,F9,1,21500,47500,2,6,2,-6,-9
Point00262,true,F9#2,21500,49300,5212,11765,F,9,F9,2,21500,49300,2,6,2,-6,-9
Point00263,true,F9#3,21500,51100,5212,11765,F,9,F9,3,21500,51100,2,6,2,-6,-9
Point00264,true,F9#4,23300,51100,5212,11765,F,9,F9,4,23300,51100,2,6,2,-6,-9
Point00265,true,F9#5,23300,49300,5212,11765,F,9,F9,5,23300,49300,2,6,2,-6,-9
Point00266,true,F8#1,30500,47500,5212,11765,F,8,F8,1,30500,47500,2,6,1,6,-8
Point00267,true,F8#2,30500,49300,5212,11765,F,8,F8,2,30500,49300,2,6,1,6,-8
Point00268,true,F8#3,30500,51100,5212,11765,F,8,F8,3,30500,51100,2,6,1,6,-8
Point00269,true,F8#4,32300,51100,5212,11765,F,8,F8,4,32300,51100,2,6,1,6,-8
Point00270,true,F8#5,32300,49300,5212,11765,F,8,F8,5,32300,49300,2,6,1,6,-8
